INDICATOR_VALUE,TYPE,COMMENT,ROLE,ATTACK_PHASE,OBSERVED_DATE,HANDLING,DESCRIPTION
cura-coronavirus-covid-19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19animals[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
crowdcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
pulseactivecovid19insurance[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
newyorkcovid-19law[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
pointofcaretestcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
politicovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19supplieshub[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
stopviruscorona[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
staythrough-covid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
protecovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
loveinthetimesofcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
volontaire-covid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
stopcoronavirusmap[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
wfecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
medical-covid-19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
iwcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
mask-covid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
indonesia-coronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
togetheragainstcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
rapidtestforcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
logancountycovid-19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
startupsvscoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
nursesforcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
spokanecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
rapidcovid19tests[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
united-vs-covid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
managecoronavirusstress[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
unitedvscovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
resourcesforcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
maladie-coronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
rideoutcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
nycovid-19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
safetycovid-19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
resistirealcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
sciencecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
resourcesforthecoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-normality[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19supplydonation[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19relationships[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19covermenow[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19testuk[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19dailyupdate[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19thinktank[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19race[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
letsendcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-world[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19br[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
decovid-19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19businessrecovery[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
curbsidecovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
pregnancycoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
mycovid19diary[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19ss[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19crossstitch[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
miltoncovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19californialawyers[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19textbot[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
hometestingkitscoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
pregnantcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-africa[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
hooglecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
quarantine2020covid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
hometestforcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
primacovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19realtalk[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
nurseforcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
wwwgooglecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
preventcoronavirusdisease[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
humanity-against-coronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
peopleofcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
srstcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
startupsversuscoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
sicoronaviruschronicles[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
lluhpicucovid19hub[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
lh-covid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
opencovid-19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
stopthiscoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
vitamincoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
theworldaftercoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
studentdebtcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
vetterpharmacovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
pastcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
illinoiscoronaviruslawyers[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
wetindeycovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
whipcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
managecovid19stress[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
indocovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
studentloancovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
suppliesforcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
illinoiscovid-19law[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
thecovid19project[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
whencoronaviruswillend[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
usavscovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
viralcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
immunitycovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
upliftingstoriescoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
mascarillasparacovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
studentloanscovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
mangetoocovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
sendlovenotcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
vergognacovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
sars-covid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
thxcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
talkaboutcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
ourcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
rapidcoronavirustesting[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
rapidcoronavirustests[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
iamlivingcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
recursoscovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
masksforcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
lifeinthetimesofcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
nursesforcovid-19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
test-covid19-uk[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
volontairescovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
informe-covid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
livecoronaviruscounter[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
nurseforcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
storiesofcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
victimascovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
stopcovid19map[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
sportcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
spokanecovid-19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
wrongaboutcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
spokanecoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
lutte-coronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
spokanecovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
thecovid19insurance[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
viruscoronaworkfromhome[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
ooglecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
wehatecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
testonlinecovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
iservivedcovid-19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
smartcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
vivadiagcovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
nursesforcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
nursescopingduringcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
vivadiagcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
informecovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
maroc-contre-coronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
mankindvscovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
onlygoodcoronavirusnews[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
resourceguideforcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
wearecovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus[.]abbott,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
moscoronavirus[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-112[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruswalk[.]xyz,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19antibody[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruschemicalsolutions[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusattackgame[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
viruscovid[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruscrisis[.]net,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusinus[.]xyz,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
thecoronavirusfoundation[.]today,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19antibody[.]net,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19vaccinetrial[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19antibody[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
ganicovid-19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19responseteam[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19nepal[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruslawyerusa[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-v-novosibirske[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19masks[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusvoronezh[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19-links[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-vladivostok[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-kh[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19lab[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19maps[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-volgograd[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusufa[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-tomsk[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-official[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-pandemiya[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-tver[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusspb[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-tolyatti[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-smolensk[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-sochi[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-rostov[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusgermany[.]xyz,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-lipetsk[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusmoskva[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-krym[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-omsk[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
viruscovid19[.]site,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusisfakenews[.]xyz,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-krasnodar[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruskazan[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusnewsfirst[.]xyz,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusinchina[.]xyz,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19inafrica[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusapp[.]xyz,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
ryazan-coronavirus[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusfrance[.]xyz,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
russia-coronavirus[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-novosibirsk[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusnews24[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
samara-coronavirus[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
anti-covid[.]xyz,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
pandemiya-coronavirus[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-moskva[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusunet[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
some-covid19-stats[.]space,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19helpline[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-kazan[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19-data[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
nocovid[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
tyumen-coronavirus[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
perm-coronavirus[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
netcoronavirusu[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
selftestkitcovid19[.]store,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
killercoronavirus[.]world,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
moscow-coronavirus[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
map-covid19[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
kaliningrad-coronavirus[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid2019net[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-data-sonification[.]space,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19stimulus[.]work,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
micovid[.]xyz,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19answers[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
kazan-coronavirus[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-spb[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-voronezh[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid194dummies[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-saratov[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-tambov[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-kazan[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-nn[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-krasnoyarsk[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-moskva[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusekaterinburg[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-ekb[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-habarovsk[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-belgorod[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
tengocoronavirus[.]site,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-ekaterinburg[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19sars2v[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
sciencecovid19[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
postcovid-19[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
postcoronavirus[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-hvatit[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
postcovid19[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19bharat[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
sbacoronavirusloan[.]website,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19-stat[.]space,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
respondingtocovid19pandemic[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusmediation[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19deathtoll[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19give[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
pandemiyacoronavirus[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
uk-coronavirus[.]xyz,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
permisocovid19[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19pandemic[.]solutions,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruschina[.]world,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-ekaterinburg[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
misjacovid19[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-irkutsk[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-kaluga[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
ancovid-19[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
bryansk-coronavirus[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
anti-covid19[.]sk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
anticovid-19[.]sk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
anti-coronavirus[.]sk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronav1rus[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
anticovid19[.]sk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
redcovid19mx[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
notmycovid-19[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
partnerscovid[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
notmycovid[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
partners-covid[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
tanggapcovid19[.]site,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
corona-virus-pandemic[.]world,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
thrivingcovid19[.]site,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
ncovid[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
ncrla-covid-19[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
chinacovid19[.]world,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
moabcovid[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusinindia[.]today,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19testkit[.]nu,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19test[.]nu,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronacovid19[.]website,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
testforcoronavirus[.]today,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
sars-cov-2-covid-19[.]tech,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
mapcoronavirus[.]site,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
pay-covid19[.]site,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusmovies[.]uno,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusamerica[.]store,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-cleaning[.]sydney,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruscleaning[.]today,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
anti-covid[.]supplies,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19response[.]video,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19refi[.]today,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
noticiascoronavirus[.]site,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19test[.]support,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-pandemic[.]today,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
survivingcovid19[.]site,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19test[.]technology,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusresponse[.]video,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19[.]town,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
