INDICATOR_VALUE,TYPE,COMMENT,ROLE,ATTACK_PHASE,OBSERVED_DATE,HANDLING,DESCRIPTION
businesses-vs-covid19[.]tech,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
vakcina-coronavirus[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
vseocoronavirus[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
don-covid-19[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-masks[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
who-health-covid-19[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
corona-virus19[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
vakcina-covid19[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19pot[.]net,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
spokanecovid-19[.]net,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19[.]webcam,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19cleaning[.]vegas,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-detail[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19kit[.]store,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusupdated[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
testcovid-19[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19lawyers[.]net,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19lk[.]today,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19live[.]site,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
mask4covid19[.]net,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
stopcovid[.]store,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19freejob[.]xyz,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19comcast[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
anticovid19coin[.]tech,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
fuckcovid-19[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
diabetescovid[.]net,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruswoking[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19memorial[.]run,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
spokanecovid[.]net,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
helpcovid19testing[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
who-covid19[.]world,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
helpmecovid19[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-scan[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid1984[.]wtf,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-vaccine[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus--monitor[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
vaccine-covid19[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19tn[.]tech,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-news-online[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19-koronavirus[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
survivingcovid19[.]net,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
don-covid19[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
thecovid19clean[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusvaccine[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19lawfor[.]trade,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
flatheadcovid[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19cornwall[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
claimcoronavirus[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
netcovid19[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19inf[.]tech,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
helpinghandscovid-19[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19lawyers[.]net,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
testcovid-19[.]net,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19shop[.]online,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
doncovid19[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronacovid[.]site,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19self-test[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
disinfectioncovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirussymptomsdaybyday[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
spreadlovenotcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusinfectie[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
austincovid-19disinfection[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
disinfectionservicescovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusnames[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusdiagnostickit[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19-us[.]app,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusdisinfectionservice[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
copingwithcoronavirus[.]net,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19governmentgrant[.]net,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19express-test[.]ru,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19live[.]net,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
scccovid19[.]org,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
drugcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
doncovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruscount[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
don-covid-19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusdebtrelief[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusdeepkleen[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
combattrelecoronavirus[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
atlantabeatscovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus19ukdeepclean[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19cleans[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus19uk[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
deepcleancovid19[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19horshamupdates[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
vaincrelecoronavirus[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
fightcovid-19[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
calmlyfacingcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
californiacoronaviruslawyers[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
californiacovid-19law[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
caronavirusremoteworking[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
cocktailsandcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
cancer-coronavirus-registry[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
corona-virus-update[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
ccpcoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19loanscheme[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirustracker[.]us,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronovirustracker[.]us,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
diabetes-coronavirus-registry[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
